gtin,category
5.00017E+12,fish
3016954,dairy
8.00043E+12,dairy
5.0544E+12,dairy
5.05162E+12,dairy
5.0102E+12,dairy
5.0102E+12,dairy
5.01837E+12,dairy
5.00046E+12,dairy
3056370,dairy
5.76047E+12,dairy
5.05353E+12,dairy
8.00043E+12,dairy
8.00043E+12,dairy
5.0102E+12,dairy
5.05353E+12,dairy
5.03115E+12,dairy
5.01837E+12,dairy
3017272,fruit_veg
10009123,fruit_veg
5.05291E+12,fruit_veg
5.05291E+12,fruit_veg
5.05291E+12,fruit_veg
5.05291E+12,fruit_veg
5.05353E+12,fruit_veg
5.05353E+12,fruit_veg
10028537,fruit_veg
3244425,fruit_veg
3244395,fruit_veg
5.05291E+12,fruit_veg
5.05291E+12,fruit_veg
10061282,fruit_veg
5.00012E+12,fruit_veg
5.05291E+12,fruit_veg
5.05353E+12,fruit_veg
10065716,fruit_veg
10004647,fruit_veg
5.05395E+12,fruit_veg
10065907,fruit_veg
5.05291E+12,fruit_veg
5.05291E+12,fruit_veg
5.05353E+12,fruit_veg
5.05395E+12,fruit_veg
5.05395E+12,fruit_veg
7.2901E+12,fruit_veg
7.29011E+12,fruit_veg
5.05353E+12,fruit_veg
10004661,fruit_veg
5.05291E+12,fruit_veg
3244401,fruit_veg
10061299,fruit_veg
10065921,fruit_veg
7.29001E+12,fruit_veg
7.2901E+12,fruit_veg
10066980,fruit_veg
5.05291E+12,fruit_veg
5.05291E+12,fruit_veg
10049464,fruit_veg
10094969,fruit_veg
5.05353E+12,fruit_veg
5.05353E+12,fruit_veg
10065198,fruit_veg
10065884,fruit_veg
10000045,fruit_veg
10000069,fruit_veg
10009390,fruit_veg
10009406,fruit_veg
10009413,fruit_veg
5.05291E+12,fruit_veg
10009437,fruit_veg
10009444,fruit_veg
5.05353E+12,fruit_veg
3017432,grains
5.00012E+12,grains
5.01101E+12,grains
5.0519E+12,grains
8.07681E+12,grains
5.39151E+12,grains
5.00023E+12,grains
5.0514E+12,grains
5.39151E+12,grains
5.01837E+12,grains
8.03299E+12,grains
5.0517E+12,grains
5.00012E+12,grains
5.00018E+12,grains
8.07681E+12,grains
5.05395E+12,grains
5.00036E+12,grains
5.00023E+12,grains
5.00023E+12,grains
5.0517E+12,grains
5.00023E+12,grains
5.01079E+12,grains
5.06009E+12,grains
5.00023E+12,grains
5.00044E+12,grains
8.03299E+12,grains
5.00012E+12,grains
5.01079E+12,grains
5.01079E+12,grains
5.01079E+12,grains
5.01079E+12,grains
8.00125E+12,grains
8.00125E+12,grains
8.03299E+12,grains
8.0768E+12,grains
5.05755E+12,grains
3017883,readymade
3026304,readymade
3035498,readymade
3035511,readymade
3054130,readymade
3055533,readymade
3056943,readymade
3060933,readymade
3224533,readymade
3224540,readymade
3224724,readymade
3231869,readymade
3236116,readymade
3236277,readymade
3236468,readymade
3245828,readymade
3245835,readymade
3252161,readymade
3252178,readymade
3252321,readymade
3263303,readymade
3271100,readymade
50436767,readymade
5.052E+12,readymade
5.05427E+12,readymade
5.05427E+12,readymade
3252338,readymade
5.052E+12,readymade
3201725,readymade
3222966,readymade
3022177,readymade
3048214,readymade
3236130,readymade
5.05478E+12,readymade
3057575,readymade
5.052E+12,readymade
3236284,readymade
3245811,readymade
3054116,readymade
3241554,readymade
3038536,readymade
3064436,readymade
3263310,readymade
3258705,readymade
3223697,readymade
3057582,readymade
3261798,readymade
3231241,readymade
3236475,readymade
3223680,readymade
3061602,readymade
5.05395E+12,readymade
3252185,readymade
3258712,readymade
3057124,readymade
3241561,readymade
5.05427E+12,readymade
3224571,readymade
3246795,readymade
3228678,readymade
3252222,readymade
3058732,readymade
3203156,readymade
3225059,readymade
3241264,readymade
3236338,readymade
3064450,readymade
3236161,readymade
3241608,readymade
3222683,readymade
5.05114E+12,readymade
3061756,readymade
3258729,readymade
3224441,readymade
3252239,readymade
3252192,readymade
5.05395E+12,readymade
3203507,readymade
3241615,readymade
3245781,readymade
5.0544E+12,readymade
5.05737E+12,readymade
5.05737E+12,readymade
3061633,readymade
5.05114E+12,readymade
3225127,readymade
3225134,readymade
50436040,readymade
3225165,readymade
3225233,readymade
5.052E+12,readymade
3060520,readymade
5.05395E+12,readymade
3044186,readymade
3254851,readymade
3254868,readymade
3252147,readymade
3252154,readymade
3252246,readymade
3252253,readymade
3252260,readymade
3252277,readymade
3252284,readymade
3252291,readymade
3252307,readymade
3252314,readymade
3054901,readymade
5.05427E+12,readymade
3063095,readymade
5.05211E+12,readymade
3058275,readymade
5.052E+12,readymade
3056226,readymade
3056233,readymade
3056240,readymade
3224472,readymade
3258736,readymade
3224632,readymade
3232224,readymade
3203163,readymade
3222942,readymade
3236185,readymade
3236215,readymade
3236222,readymade
3236246,readymade
96028872,readymade
3062265,readymade
3061831,readymade
5.052E+12,readymade
3042168,readymade
3038550,readymade
3038581,readymade
5.05291E+12,readymade
3203477,readymade
3224960,readymade
3001011,readymade
3000984,readymade
3057537,readymade
3057544,readymade
5.0544E+12,readymade
5.0544E+12,readymade
5.0544E+12,readymade
5.0544E+12,readymade
5.0544E+12,readymade
3060735,readymade
3228647,readymade
5.05291E+12,readymade
5.05701E+12,readymade
3055502,readymade
3055519,readymade
3055526,readymade
3231173,readymade
3018828,readymade
3018781,readymade
3231210,readymade
3238936,readymade
3231289,readymade
3234785,readymade
3231326,readymade
3231333,readymade
3201701,readymade
3236369,readymade
3236413,readymade
3236444,readymade
3236567,readymade
3236574,readymade
3236581,readymade
3236666,readymade
3236697,readymade
3018590,readymade
5.05701E+12,readymade
3245774,readymade
3245804,readymade
3232279,readymade
3232316,readymade
3340257,readymade
3052112,readymade
3046579,readymade
5.05128E+12,readymade
3263372,readymade
3057810,readymade
3057827,readymade
3057834,readymade
3034316,readymade
3241486,readymade
3236727,readymade
3241585,readymade
3241592,readymade
3241622,readymade
3241660,readymade
3270691,readymade
3270714,readymade
3269022,readymade
3269039,readymade
3225066,readymade
3028193,fats_oils
5.00015E+12,fats_oils
5.00015E+12,fats_oils
5.00016E+12,fats_oils
